federal_account_symbol,account_title,agency,bureau
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Benin",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Bolivia",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Burma",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Cameroon",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Cape Verde",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Costa Rica",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Dominican Republic",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Ecuador",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Gabon",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Gambia",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Ghana",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Guatemala",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Guyana",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Honduras",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, India",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Japan",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Jordan",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Kenya",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Malawi",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Mali",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Morocco",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Nepal",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Niger",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Peru",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Philippines",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Republic of Congo",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, South Africa",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Sri Lanka",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, St. Lucia",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Suriname",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Thailand",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Tunisia",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Uganda",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Zambia",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X7000 Program Clearing Account, Treasury, Zimbabwe",Department of the Treasury,FMS/FO/FASD/IFB
020-7999,"Control Account-X700o Program Clearing Account, Treasury, Ethiopia",Department of the Treasury,FMS/FO/FASD/IFB
020-8145,Corps of Engineers,Corps of Engineers,Reports and Analysis Office
020-8145,Justice,Department of Justice,General Legal Activities
020-8207,"Lower Brule Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund,  Bureau of the Fiscal Service, Treasury",Department of the Treasury,Bureau of the Fiscal Service
020-8209,"Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund, Bureau of the Fiscal Service, Treasury",Department of the Treasury,Bureau of the Fiscal Service
020-8212,"District of Columbia Judicial Retirement and Survivor's Annuity Fund, Treasury",Department of the Treasury,Office of DC Pensions
020-8413,"Assessment Funds, Office of the Comptroller of the Currency, Treasury",Department of the Treasury,Comptroller of the Currency
020-8524,"Capital Magnet Fund, Community Development Financial Institutions, Departmental Offices, Treasury",Department of the Treasury,"Main Treasury, Office of the Secretary,Departmental Offices"
020-8527,"Salaries and Expenses Trust Fund, Departmental Offices, Treasury",Department of the Treasury,"Main Treasury, Office of the Secretary,Departmental Offices"
020-8530,"Violent Crime Reduction Program, Financial Crimes Enforcement Network, Treasury",Department of the Treasury,Financial Crimes Enforcement Network
020-8620,"Cheyenne River Sioux Tribal Recovery Trust Fund, Bureau of the Public Debt, Treasury",Department of the Treasury,BUREAU OF THE FISCAL SERVICE
020-8625,"Gulf Coast Restoration Trust Fund, Bureau of the Fiscal Service, Treasury",Department of the Treasury,Bureau of the Fiscal Service
020-8626,"Santee Sioux Tribe Development Trust Fund, Bureau of the Fiscal Service, Treasury",Department of the Treasury,Bureau of the Fiscal Service
020-8627,"Yankton Sioux Tribe Development Trust Fund, Bureau of the Fiscal Service, Treasury",Department of the Treasury,Bureau of the Fiscal Service
020-8790,"Gifts and Bequests, Treasury",Department of the Treasury,"Main Treasury, Office of the Secretary,Departmental Offices"
020-8902,"Esther Cattell Schmitt Gift Fund, Bureau of the Fiscal Service, Treasury",Department of the Treasury,Bureau of the Fiscal Service
021-0390,"Chemical Agents and Munitions Destruction, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-0720,"Family Housing Construction, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-0721,"Family Housing Construction - Recovery Act, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-0725,"Family Housing Operation and Maintenance, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-0726,"Family Housing Operation and Maintenance - Recovery Act, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-0810,"Environmental Restoration, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-1004,"Medicare-Eligible Retiree Health Fund Contribution, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-1005,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-1006,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-1805,"Salaries and Expenses, Cemeterial Expense, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-1805,"Salaries and Expenses, Cemeterial Expenses, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-1809,"Construction, Cemeterial Expenses, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2010,"Military Personnel, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2020,"Operation and Maintenance, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2022,"Operation and Maintenance - Recovery Act, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2031,"Aircraft Procurement, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2032,"Missile Procurement, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2033,"Procurement of Weapons and Tracked Combat Vehicles, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2034,"Procurement of Ammunition, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2035,"Other Procurement, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2040,"Research, Development, Test and Evaluation, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2040,"Research, Development, Test, and Evaluation, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2041,"Research, Development, Test and Evaluation - Recovery Act, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2050,"Military Construction, Army",Department of Transportation,Federal Highway Administration
021-2051,"Military Construction - Recovery Act, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2060,"National Guard Personnel, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2065,"Operation and Maintenance, Army National Guard",Department of the Army,DEPARTMENT OF THE ARMY
021-2066,"Operation and Maintenance - Recovery Act, Army National Guard",Department of the Army,DEPARTMENT OF THE ARMY
021-2070,"Reserve Personnel, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2080,"Operation and Maintenance, Army Reserve",Department of the Army,DEPARTMENT OF THE ARMY
021-2081,"Operation and Maintenance - Recovery Act, Army Reserve",Department of the Army,DEPARTMENT OF THE ARMY
021-2085,"Military Construction, Army National Guard",Department of the Army,DEPARTMENT OF THE ARMY
021-2086,"Military Construction, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2086,"Military Construction, Army Reserve",Department of the Army,DEPARTMENT OF THE ARMY
021-2089,"Iraq Relief and Reconstruction Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2090,"Operating Expenses of the Coalition Provisional Authority, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2091,"Afghanistan Security Forces Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2092,"Iraq Security Forces Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2093,"Joint Improvised Explosive Device Defeat Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2094,"Military Construction - Recovery Act, Army National Guard",Department of the Army,DEPARTMENT OF THE ARMY
021-2095,"Pakistan Counterinsurgency Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2096,"Afghanistan Infrastructure Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2097,"Iraq Train and Equip Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2099,"Counter-ISIL Train and Equip Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-2099,"Counter-ISIS Train and Equip Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-4528,"Working Capital Fund, Army Conventional Ammunition",Department of the Army,DEPARTMENT OF THE ARMY
021-4567,"Special Defense Repair Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5095,"Wildlife Conservation, Etc., Military Reservations, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5098,"Restoration, Rocky Mountain Arsenal, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5285,"Department of Defense, Forest Products Program, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5286,"National Science Center, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5602,"National Military Cemeteries Concessions, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5749,"Rental of Military Family Housing, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5752,"Department of Defense Korean War Commemoration Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5754,"Department of Defense Tomb of the Unknown Soldier Commemoration Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-5756,"Natick Land Conveyance, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6001,"Proceeds of Sales of Lost, Abandoned, or Unclaimed Personal Property, Army (T)",Department of the Army,DEPARTMENT OF THE ARMY
021-6002,"Personal Funds of Deceased, Mentally Incompetent or Missing Personnel, Army (T)",Department of the Army,DEPARTMENT OF THE ARMY
021-6010,"Pay of the Army, Deposit Fund (T)",Department of the Army,DEPARTMENT OF THE ARMY
021-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6075,"Withheld Allotment of Compensation for Payment of Employee Organization Dues, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6083,"Withheld Allotment of Compensation for Charitable Contributions, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6095,"Collection of Seized Iraqi Assets, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6098,"Disbursement of Seized Iraqi Assets, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6113,"Withheld Employee Contributions, State or Territorial Death Benefits, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6115,"Contributions, Military Dependent Care Flexible Spending Account, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6129,"Foreign Taxes Withheld, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6131,"Employee and Employer Contributions, Private Insurance Plans, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6133,"Payment of Unclaimed Moneys, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6134,"Amounts Withheld for Civilian Pay Allotments, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6216,"Disbursing Officer Cash, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6229,"Thrift Savings Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6275,"Withheld State and Local Taxes, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6276,"Other Federal Payroll Withholding, Allotments, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6434,"Servicemen's Group Life Insurance Fund, Suspense, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6500,"Advances Without Orders from Non-Federal Sources, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6501,"Small Escrow Amounts, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6505,"Escrow Amounts, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6763,"Gains and Deficiencies on Exchange Transactions, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-6951,"Disbursing Officer Cash, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-8063,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",Department of the Army,DEPARTMENT OF THE ARMY
021-8721,Heritage Center for the National Museum of the United States Army,Department of the Army,DEPARTMENT OF THE ARMY
021-8927,"Department of the Army General Gift Fund, Army",Department of the Army,DEPARTMENT OF THE ARMY
023-0100,"Salaries and Expenses, United States Tax Court",U. S. Tax Court,Budget and Accounting
023-5023,"Tax Court Independent Counsel, United States Tax Court",U. S. Tax Court,Budget and Accounting
023-5633,"U.S. Tax Court Fees, United States Tax Court",U. S. Tax Court,Budget and Accounting
023-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, United States Tax Court",U. S. Tax Court,Budget and Accounting
023-6275,"Withheld State and Local Taxes, United States Tax Court",U. S. Tax Court,Budget and Accounting
023-8115,"Tax Court Judges Survivors Annuity Fund, United States Tax Court",U. S. Tax Court,Budget and Accounting
024-0100,"OPM Zero Trust Networking, Office of Personnel Management",Office of Personnel Management,
024-0100,"Salaries and Expenses, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-0200,"Payment to Civil Service Retirement and Disability Fund, Office of Personnel Management",Office of Personnel Management,Compensation Group
024-0206,"Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",Office of Personnel Management,Compensation Group
024-0400,"Salaries and Expenses, Office of Inspector General, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-0500,"Government Payment for Annuitants, Employee Life Insurance     Benefits, Office of Personnel Management",Office of Personnel Management,Compensation Group
024-0600,"OPM Building Delegation Fund, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-0800,"Flexible Benefits Plan Reserve, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-0806,"Emergency Federal Employee Leave Fund, Office of Personnel Management",Office of Personnel Management,
024-0813,"Postal Service Health Benefits Program Implementation Fund, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-1162,"IT Modernization and Working Capital, Office of Personnel Management",Office of Personnel Management,
024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for Atlanta, GA, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for Chicago, IL, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for Dallas, TX, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for Philadelphia, PA, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for San Francisco, CA, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for Washington, DC, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-5391,"Postal Service Contributions for Retiree Health Benefits, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Boston, MA",Office of Personnel Management,Administrative Gr0up
024-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Compensation Group",Office of Personnel Management,
024-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Washington, DC",Office of Personnel Management,Administrative Gr0up
024-6275,"Withheld State and Local Taxes, Compensation Group",Office of Personnel Management,
024-6275,"Withheld State and Local Taxes, Office of Personnel Management",Office of Personnel Management,Administrative Gr0up
024-6501,Small Escrow Accounts,Office of Personnel Management,Compensation Group
024-8135,"Civil Service Retirement and Disability Fund, Office of Personnel Management",Office of Personnel Management,Compensation Group
024-8424,"Employees' Life Insurance Fund, Office of Personnel Management",Office of Personnel Management,Compensation Group
024-8440,"Employees' Health Benefits Fund, Office of Personnel Management",Office of Personnel Management,Compensation Group
024-8445,"Retired Employees' Health Benefits Fund, Office of Personnel Management",Office of Personnel Management,Compensation Group
025-4056,"Operating Fund, National Credit Union Administration",National Credit Union Administration,
025-4468,"National Credit Union Share Insurance Fund, National Credit Union Administration",National Credit Union Administration,
025-4470,"Central Liquidity Facility, National Credit Union Administration",National Credit Union Administration,
025-4472,"Community Development Revolving Loan Fund, National Credit Union",National Credit Union Administration,
025-4472,"Community Development Revolving Loan Fund, National Credit Union Administration",National Credit Union Administration,
025-4477,"Temporary Corporate Credit Union Stabilization Fund, National Credit Union Administration",National Credit Union Administration,
025-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, National Credit Union Administration",National Credit Union Administration,
025-6275,"Withheld State and Local Taxes, National Credit Union Administration",National Credit Union Administration,
026-0101,"Payment to the Thrift Savings Fund, Federal Retirement Thrift Investment Board",Federal Retirement Thrift Investment Board,Accounting Office
026-6153,"Thrift Savings Fund, Federal Retirement Thrift Investment Board",Federal Retirement Thrift Investment Board,Accounting Office
027-0100,"Salaries and Expenses, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-0300,"Spectrum Auction Program Account, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-1911,"Affordable Connectivity Fund, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-1912,"Secure and Trusted Communications Networks Reimbursement Program, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-1913,"Emergency Connectivity Fund for Educational Connections and Devices, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-5183,"Universal Service Fund, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-5610,"TV Broadcaster Relocation Fund, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-5681,"Spectrum Auction Trust Fund, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-5700,"Telecommunications Relay Services Fund, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-6088,"Section 9 Regulatory Fees, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-6089,International Telecommunication Settlements,Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-6725,"Fees, Suspense, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
027-6725,"Funds Held Outside of the U.S. Treasury, Federal Communications",Federal Communications Commission,
027-8117,"Gifts and Bequests, Federal Communications Commission",Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION
028-0400,"Office of the Inspector General, Social Security Administration",Social Security Administration,Social Security Administration
028-0401,"Special Benefits for Certain World War II Veterans, Social Security Administration",Social Security Administration,Social Security Administration
028-0403,"Office of the Inspector General - Recovery Act, Social Security Administration",Social Security Administration,Social Security Administration
028-0404,"Payments to Social Security Trust Funds, Social Security Administration",Social Security Administration,Social Security Administration
028-0406,"Supplemental Security Income Program, Social Security Administration",Social Security Administration,Social Security Administration
028-0415,"Administrative Costs, The Medicare Improvements for Patients and Providers Act, Social Security Administration",Social Security Administration,Social Security Administration
028-0416,"Administrative Expenses, Children's Health Insurance Program, Social Security Administration",Social Security Administration,Social Security Administration
028-0417,"Limitation on Administrative Expenses - Recovery Act, Social Security Administration",Social Security Administration,Social Security Administration
028-0418,"Economic Recovery Payments - Recovery Act, Social Security Administration",Social Security Administration,Social Security Administration
028-0419,"Limitation on Administrative Expenses, Social Security Administration",Social Security Administration,Social Security Administration
028-0419,"Payment to Limitation on Administrative Expenses, Social Security Administration",Social Security Administration,Social Security Administration
028-0421,"Payments to Social Security Trust Funds Post-1956 Military Service Wage Credits, Social Security Administration",Social Security Administration,Social Security Administration
028-0440,"Payments for Credits Against Social Security Contributions, Social Security Administration",Social Security Administration,Social Security Administration
028-5419,"State Supplemental Fees, Social Security Administration",Social Security Administration,Social Security Administration
028-6239,"Proceeds of Supplemental Security Income Checks Unnegotiated for 180 Days/Six Months, Pending Distribution",Social Security Administration,Social Security Administration
028-6504,"State Supplemental Security Income Payments, Social Security Administration",Social Security Administration,Social Security Administration
028-6724,"Payments for Information Furnished by the Department of Health and Human Services, Social Security Administration",Social Security Administration,Social Security Administration
028-8006,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",Social Security Administration,Social Security Administration
028-8007,"Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",Social Security Administration,Social Security Administration
028-8704,"Salaries and Expenses, Social Security Administration",Social Security Administration,Social Security Administration
029-0100,"Salaries and Expenses, Federal Trade Commission",Federal Trade Commission,
029-6013,"FTC Consumer Redress Escrow, Federal Trade Commission",Federal Trade Commission,
029-6501,"Small Escrow Amounts, Federal Trade Commission",Federal Trade Commission,
031-0200,"Salaries and Expenses, Nuclear Regulatory Commission",Nuclear Regulatory Commission,
031-0300,"Office of Inspector General, Nuclear Regulatory Commission",Nuclear Regulatory Commission,
031-0300,"Office of the Inspector General, Nuclear Regulatory Commission",Nuclear Regulatory Commission,
031-5280,"Nuclear Facilities Fees Fund, Nuclear Regulatory Commission",Nuclear Regulatory Commission,
031-6205,"Nuclear Facility Fees in Advance of Final Determination of Fees, Nuclear Regulatory Commission",Nuclear Regulatory Commission,
032-4017,Synthetic Fuels Corporation Fund,Synthetic Fuels Corporation,
033-0100,"Salaries and Expenses, Smithsonian Institution",Smithsonian Institution,
033-0101,"Facilities Capital - Recovery Act, Smithsonian Institution",Smithsonian Institution,
033-0102,"Museum Programs and Related Research, Special Foreign Currency Program, Smithsonian Institution",Smithsonian Institution,
033-0103,"Facilities Capital, Smithsonian Institution",Smithsonian Institution,
033-0104,"Legacy Fund, Smithsonian Institution",Smithsonian Institution,
033-0200,"Salaries and Expenses, National Gallery of Art",Smithsonian Institution,National Gallery of Art
033-0201,"Repair, Restoration and Renovation of Buildings, National Gallery of Art",Smithsonian Institution,National Gallery of Art
033-0301,"Loans, John F. Kennedy Center Parking Facilities, Smithsonian Institution",Smithsonian Institution,
033-0302,"Operations and Maintenance, John F. Kennedy Center for Performing Arts",Smithsonian Institution,John F. Kennedy Center for the Performing Arts
033-0302,"Operations and Maintenance, John F. Kennedy Center for the Performing Arts",Smithsonian Institution,John F. Kennedy Center for the Performing Arts
033-0303,"Capital Repair and Restoration, John F. Kennedy Center for the Performing Arts",Smithsonian Institution,John F. Kennedy Center for the Performing Arts
033-0400,"Salaries and Expenses, Woodrow Wilson International Center for Scholars",Smithsonian Institution,
033-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, National Gallery of Art",Smithsonian Institution,National Gallery of Art
033-6097,"Smithsonian Fund, Smithsonian Institution",Smithsonian Institution,
033-6220,"Smithsonian Endowment Fund, Smithsonian Institution",Smithsonian Institution,
033-6275,"Withheld State and Local Taxes, National Gallery of Art",Smithsonian Institution,National Gallery of Art
033-6275,"Withheld State and Local Taxes, Smithsonian Institution",Smithsonian Institution,
033-7565,"United States - India Fund for Cultural, Educational, and Scientific Cooperation, Smithsonian, India",Smithsonian Institution,Treasury FMS/FO/FASD/IFB
033-8190,"Canal Zone Biological Area Fund, Smithsonian Institution",Smithsonian Institution,
034-0100,"Salaries and Expenses, International Trade Commission",International Trade Commission,
034-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, International Trade Commission",International Trade Commission,
034-6275,"Withheld State and Local Taxes, International Trade Commission",International Trade Commission,
034-6340,"Temporary Relief Bonds Receipts, International Trade Commission",International Trade Commission,
036-0101,"Compensation and Pensions - Recovery Act, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0102,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-0110,"Construction Major Projects, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0120,"Veterans Insurance and Indemnities, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-0128,"Guaranteed Transitional Housing Loans for Homeless Veterans Program Account, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-0129,"National Cemetery Administration, Veterans Health Administration, Veterans Affair",Department of Veterans Affairs,Veterans Health Administration
036-0129,"National Cemetery Administration, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0130,"National Cemetery Administration - Recovery Act, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0131,"Emergency Department of Veterans Affairs Employee Leave Fund, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0137,"Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-0140,"Medical Community Care, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0142,"General Administration, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0150,"General Operating Expenses - Recovery Act, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0151,"General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-0152,"Expenses, Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0152,"Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0158,"Medical Facilities - Recovery Act, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
