federal_account_symbol,account_title,agency,bureau
001-0123,"Senate Office Buildings, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0127,"House Office Buildings, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0133,"Capitol Power Plant, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0137,"House Office Buildings Fund, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0155,"Library Buildings and Grounds, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0155,"Structural and Mechanical Care, Library Buildings and Grounds, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0161,"Capitol Visitor Center, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0161,"Capitol Vistor Center, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0171,"Capitol Police Buildings and Grounds, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-0171,"Capitol Police Buildings, Grounds and Security, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-1833,"House Historic Buildings Revitalization Trust Fund, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-4200,"House of Representatives, Gymnasium, Revolving Fund, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-4296,"Capitol Visitor Center Revolving Fund, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-4297,"Recyclable Materials Revolving Fund, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-4566,"Senate Health and Fitness Facility, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-4666,"Flag Office Revolving Fund, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-5760,"Capitol Trust Account, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
001-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Architect of the Capitol",Architect of the Capitol,ARCHITECT OF THE CAPITOL
002-0461,"Security Enhancements, Capitol Police Board, House of Representatives",Legislative Branch,Capitol Police
002-0476,"General Expenses, Capitol Police",Legislative Branch,Capitol Police
002-0477,"Salaries, Capitol Police",Legislative Branch,Capitol Police
002-0478,"United States Capitol Police Mutual Aid Reimbursements, Capitol Police",Legislative Branch,Capitol Police
002-5083,"United States Capitol Police Memorial Fund, Capitol Police",Legislative Branch,Capitol Police
003-0101,"Salaries and Expenses, Library of Congress",Library of Congress,
003-0102,"Salaries and Expenses, Copyright Office, Library of Congress",Library of Congress,
003-0103,"Library of Congress National Collection Stewardship Fund, Library of Congress",Library of Congress,
003-0127,"Salaries and Expenses, Congressional Research Service, Library of Congress",Library of Congress,
003-0141,"Salaries and Expenses, Books for the Blind and Physically Handicapped, Library of Congress",Library of Congress,
003-0141,"Salaries and Expenses, National Library Service for the Blind and Print Disabled, Library of Congress",Library of Congress,
003-0146,"Furniture and Furnishings, Library of Congress",Library of Congress,
003-4325,"Cooperative Acquisitions Program Revolving Fund, Library of Congress",Library of Congress,
003-4339,"Duplication Services Associated with Audiovisual Conservation Center, Library of Congress",Library of Congress,
003-4346,"Gift Shop, Decimal Classification, Photo Duplication, and Related Services, Library of Congress",Library of Congress,
003-4543,"Fedlink and Federal Research Programs, Library of Congress",Library of Congress,
003-5075,"Oliver Wendell Holmes Devise Fund, Library of Congress",Library of Congress,
003-5175,"Payments to Copyright Owners, Copyright Office, Library of Congress",Library of Congress,
003-6175,"Copyright Owner's Royalty Fees, Net Operating Costs, Copyright Office, Library of Congress",Library of Congress,
003-6206,"Unearned Copyright Fees, Library of Congress",Library of Congress,
003-6207,"Unearned Catalog Card Fees, Library of Congress",Library of Congress,
003-6500,"Advances Without Orders from Non-Federal Sources, Library of Congress",Library of Congress,
003-8022,"Payment of Interest on Bequest of Gertrude M. Hubbard, Library of Congress",Library of Congress,
003-8031,"Library of Congress Gift Fund, Library of Congress",Library of Congress,
003-8032,"Library of Congress Trust Fund, Library of Congress",Library of Congress,
003-8208,"Service Fees, Library of Congress",Library of Congress,
003-8339,"Foreign Service National Separation Liability Trust Fund, Library of Congress",Library of Congress,
004-0201,"Salaries and Expenses, Public Information Programs of the Superintendent of Documents, Government Publishing Office",Government Publishing Office,null
004-0203,"Congressional Publishing, Government Publishing Office",Government Publishing Office,
004-4505,"Government Publishing Office Business Operations Revolving Fund (Printing and Binding), Undistributed SIBAC Chargebacks, Government Publishing Office",Government Publishing Office,null
